frame,x,y,w,h,cx,cy,area
0,818,546,16,16,826.0,554.0,256
1,814,527,16,16,822.0,535.0,256
2,810,509,18,19,819.0,518.5,342
3,803,492,18,20,812.0,502.0,360
4,798,479,18,18,807.0,488.0,324
5,794,467,18,18,803.0,476.25,324
6,790,455,18,19,799.0,464.5,342
7,860,686,18,18,869.0,695.0,324
8,845,671,15,16,852.5,679.0,240
9,776,430,20,20,786.0,440.0,400
10,772,424,19,21,781.5,434.5,399
11,767,421,21,21,777.5,431.5,441
12,763,418,21,21,773.5,428.5,441
13,759,417,21,21,769.5,427.5,441
14,755,417,19,20,764.5,427.0,380
15,750,418,22,23,761.0,429.5,506
16,746,423,21,21,756.5,433.5,441
17,743,427,21,21,753.5,437.5,441
18,739,435,19,21,748.5,445.5,399
19,735,442,21,20,745.5,452.0,420
20,731,453,19,17,740.5,461.5,323
21,777,435,19,18,786.875,444.625,342
22,823,418,19,19,833.25,427.75,361
23,869,400,19,20,879.625,410.875,380
24,916,383,20,22,926.0,394.0,440
25,947,376,20,19,957.0,385.5,380
26,981,371,17,17,989.5,379.5,289
27,1007,368,16,17,1015.0,376.5,272
28,1030,367,15,17,1037.5,375.5,255
29,1050,367,18,17,1059.0,375.5,306
30,1067,369,14,15,1074.0,376.5,210
31,1081,371,15,16,1088.5,379.0,240
32,1091,376,18,15,1100.0,383.5,270
33,1106,380,16,16,1114.0,388.0,256
34,1115,379,18,16,1124.0,387.0,288
35,1128,351,13,14,1134.5,358.0,182
36,1136,325,13,14,1142.5,332.0,182
37,1132,315,13,14,1138.8846153846155,322.8076923076923,182
38,1128,306,13,14,1135.2692307692307,313.61538461538464,182
39,1124,297,13,14,1131.6538461538462,304.4230769230769,182
40,1121,288,13,14,1128.0384615384614,295.2307692307692,182
41,1117,278,13,14,1124.423076923077,286.03846153846155,182
42,1113,269,13,14,1120.8076923076924,276.84615384615387,182
43,1110,260,14,14,1117.1923076923076,267.65384615384613,196
44,1106,251,14,14,1113.576923076923,258.46153846153845,196
45,1102,241,14,14,1109.9615384615386,249.26923076923077,196
46,1099,232,14,14,1106.3461538461538,240.0769230769231,196
47,1095,223,14,14,1102.7307692307693,230.8846153846154,196
48,1091,214,14,14,1099.1153846153845,221.69230769230768,196
49,1088,205,15,15,1095.5,212.5,225
50,1066,213,13,15,1072.5,220.5,195
51,1042,222,15,18,1049.5,231.0,270
52,1017,231,17,18,1025.5,240.0,306
53,993,244,16,18,1001.1666666666667,253.0,288
54,969,257,15,18,976.8333333333333,266.0,270
55,945,270,15,18,952.5,279.0,270
56,921,287,13,15,927.5,294.5,195
57,895,303,14,16,902.0,311.0,224
58,868,321,17,17,876.5,329.5,289
59,844,341,15,19,851.5,350.5,285
60,817,362,16,20,825.0,372.0,320
61,790,383,17,21,798.5,393.5,357
62,762,409,19,21,772.0,419.5,399
63,735,435,21,21,745.5,445.5,441
64,708,465,19,20,718.0,475.0,380
65,682,495,17,19,690.5,504.5,323
66,655,526,17,19,663.5,535.5,323
67,626,560,18,18,635.0,569.0,324
68,598,596,18,19,607.0,605.5,342
69,571,623,17,19,579.5,632.5,323
70,550,619,17,17,558.5,627.5,289
71,529,612,19,20,538.5,622.0,380
72,506,609,18,19,515.0,618.5,342
73,483,607,21,22,493.5,618.0,462
74,461,608,19,20,470.5,618.0,380
75,439,609,18,21,448.0,619.5,378
