frame,player_id,x,y,w,h,cx,cy,area
50,1,915,750,61,147,946.2026359143327,833.1875735467169,4249
50,2,897,922,30,42,912.6252072968491,948.4029850746268,603
51,1,915,749,61,149,947.079180509413,834.873754152824,3612
51,2,898,927,30,39,914.5058823529412,951.135294117647,510
52,1,942,782,35,120,958.3163371488033,835.184703433923,1922
52,2,915,860,28,38,928.3046757164404,877.8235294117648,663
53,1,944,782,44,138,962.5983086680761,845.1680761099366,1892
53,2,914,861,26,36,925.1070038910506,878.0136186770428,514
54,1,944,816,30,61,959.2708978328174,843.2445820433436,646
59,1,868,935,30,41,882.2586520947177,961.4881602914389,549
60,1,908,865,62,43,942.1395833333333,886.6041666666666,960
60,2,978,952,33,28,996.234126984127,969.0376984126984,504
61,1,906,866,65,48,939.3687242798354,889.7917695473251,1215
62,1,904,866,66,46,939.1293047433398,892.143599740091,1539
63,1,901,866,72,66,939.4083166332665,897.4954909819639,1996
64,1,894,867,75,57,936.3143428285857,898.3953023488256,2001
64,2,863,948,32,35,879.0340909090909,969.6988636363636,528
65,1,890,850,75,71,925.4845488257107,894.6266996291719,2427
65,2,857,948,40,35,877.3957055214723,969.7638036809816,652
66,1,882,823,76,104,912.6961891319689,887.059633027523,2834
66,2,855,949,41,34,875.0126582278481,970.446835443038,790
67,1,877,809,76,118,906.1339563862929,880.8791277258567,3210
67,2,852,950,44,34,874.8097165991903,971.8326585695007,741
68,1,866,791,80,139,895.1832701678397,869.4328641039524,3694
68,2,849,935,45,50,872.43359375,968.83203125,768
69,1,855,788,57,129,880.6684809500248,860.5534388916378,4042
69,2,849,915,41,70,867.8901869158879,955.963785046729,856
70,1,846,798,64,187,874.6488504617803,878.9589310277069,5089
71,1,839,793,67,179,868.4179403202329,871.8213245997089,5496
72,1,823,781,69,139,858.4152507252383,857.1502279320348,4826
72,2,837,917,48,67,860.9325443786983,956.6130177514793,845
73,1,814,779,73,152,853.1849234393404,859.3455045151159,5094
73,2,843,935,37,49,863.0180722891566,963.9503012048193,664
74,1,798,776,84,208,845.731998013574,869.7897699056448,6041
75,1,783,774,85,151,833.1107128634011,851.5657108721625,5022
75,2,812,927,58,58,841.4219653179191,961.5260115606936,1211
76,1,775,773,89,152,828.2110350382602,851.4899315344342,4966
76,2,814,926,48,58,842.8595041322315,957.0013774104683,726
77,1,800,772,52,134,823.9673405909798,844.3983929497149,3858
77,2,787,956,60,31,821.5634285714285,972.4617142857143,875
78,1,779,772,63,216,809.1023355321804,881.241219468711,5609
79,1,748,772,89,216,800.7821005176156,878.0,5989
80,1,738,772,88,198,791.3922932330827,863.2302631578947,5320
80,2,744,950,70,37,785.6263498920086,970.4006479481642,926
81,1,732,772,85,218,782.5671905067351,879.5774534958307,6236
81,2,999,187,21,46,1007.1912045889102,209.02868068833652,523
82,1,731,772,81,218,778.598738170347,880.3271293375394,6340
82,2,998,187,22,45,1006.8598949211909,209.20840630472856,571
83,1,726,772,77,136,773.2055012502841,848.6881109343033,4399
83,2,737,908,60,82,767.4886988393403,950.1747098350642,1637
84,1,721,771,74,145,764.8785523978686,849.6789520426288,4504
84,2,737,921,56,68,760.5959153902261,952.9314369073669,1371
85,1,723,771,68,219,759.3830871115639,875.3525216505349,5889
85,2,989,187,30,60,1002.3839373163565,213.93535749265425,1021
86,1,717,769,66,155,753.4316499782325,848.5872877666521,4594
86,2,711,928,54,62,742.1042857142858,950.8828571428571,1400
87,1,709,768,65,158,745.3761626649361,847.8038070516981,4623
87,2,969,188,46,83,995.7826086956521,222.80324244657334,1357
88,1,706,767,64,158,741.5955441302485,846.7564267352185,4668
88,2,969,188,45,83,995.6521739130435,223.14558629776022,1518
89,1,699,765,63,159,734.647824136384,844.9208165096455,4458
89,2,970,188,43,84,995.0562169312169,224.04497354497354,1512
90,1,694,761,61,160,726.806061847225,842.2510751587139,4883
90,2,970,188,44,82,994.8779822767552,222.63122017723245,1467
91,1,689,759,63,161,723.3930575763875,840.4749532321763,4811
91,2,686,927,77,61,734.6818558409279,957.814415907208,1207
92,1,677,755,68,164,719.4310864025944,833.7771600648598,4317
92,2,970,188,46,78,994.3056951423786,220.4497487437186,1194
93,1,698,752,42,147,719.5770010131712,824.831560283688,3948
93,2,972,187,44,77,993.5337533753375,219.84428442844285,1111
94,1,693,751,46,135,716.2707340324118,820.9885605338418,4196
94,2,972,187,34,77,989.131227217497,218.74969623329284,823
95,1,681,747,57,135,711.1016688625384,816.631093544137,4554
95,2,972,187,34,76,989.2374839537869,218.21437740693196,779
96,1,681,744,54,145,707.070838496489,815.0883932259397,4842
96,2,973,187,33,73,989.656862745098,216.91176470588235,714
97,1,680,742,55,154,705.0212808672957,814.23469182895,4981
98,1,675,739,61,157,701.1488275340394,812.767019667171,5288
99,1,671,736,66,161,697.6184115523465,812.7469314079423,5540
100,1,670,736,65,213,698.2183468705208,827.0995381430164,6279
100,2,973,195,33,65,989.666083916084,226.52797202797203,572
101,1,668,734,58,217,694.8208380157329,827.8869802536523,6229
101,2,976,199,32,61,990.7372881355932,228.1135593220339,590
