frame,player_id,x,y,w,h,cx,cy,area
30,1,688,609,201,232,801.6512838801711,705.6808131241085,14020
30,2,1150,175,85,130,1195.0788579197824,239.93088601858148,4413
31,1,686,611,203,228,800.6216475803473,707.1934983376432,13535
31,2,1152,175,83,126,1194.2354557947779,238.95831424644985,4366
32,1,687,612,200,224,800.6804603137069,708.3542996768346,12687
32,2,1150,176,85,129,1192.5295663600525,241.65177398160316,4566
33,1,687,614,202,220,801.0379598662207,708.8402173913043,11960
33,2,1145,178,90,127,1190.9895966029724,242.87579617834396,4710
34,1,694,615,199,218,800.7151489718842,711.0822492656315,11915
34,2,1142,180,93,125,1188.80833505261,243.30864452238498,4847
35,1,701,619,187,213,799.5461801596351,714.829050083326,11401
35,2,1148,184,86,121,1187.775130737943,241.34108076699593,5163
36,1,704,633,167,199,799.421052631579,720.7589301121657,11590
36,2,1147,187,89,118,1185.7728909952607,242.37971563981043,5275
37,1,803,705,9,6,807.1,707.3,50
37,2,1145,186,90,131,1183.2564623338258,244.05262186115215,5416
38,1,716,619,151,215,799.8570208802298,726.5448265155632,12883
38,2,1147,184,88,119,1182.747598924318,240.87860161352285,5206
39,1,721,619,146,215,798.3889713348434,727.0336639850035,12803
39,2,1147,176,88,127,1180.2443531827516,238.86148963972371,5357
40,1,725,620,141,210,797.3147333919578,727.7565752658086,12509
40,2,1145,179,90,124,1178.492839411877,236.525873591751,5237
41,1,734,620,123,207,795.9312655726437,729.3021737262651,11639
41,2,1142,176,77,127,1172.2900222627,231.87026917628012,4941
42,1,741,633,116,192,796.1297232692838,733.5855474855199,10877
42,2,1138,172,77,131,1169.8797919476017,230.00693507994606,5191
43,1,736,614,120,211,795.341103965702,730.1406752411575,11196
43,2,1133,169,81,134,1167.596870342772,228.66821907600595,5368
44,1,739,611,103,213,794.441157071516,725.6227268444361,10613
44,2,1129,167,85,138,1165.554844606947,227.6656307129799,5470
45,1,740,609,101,215,793.9490827038163,722.1586382811734,10193
45,2,1126,166,87,104,1166.0852382797366,216.6722200697404,5162
46,1,740,609,102,214,793.1987945855153,725.7587194941211,10121
46,2,1122,164,91,105,1161.6642244086247,215.65082687879422,4777
47,1,739,611,113,213,792.2926689027312,731.6970771442261,10435
47,2,1119,154,93,115,1157.3149872988993,212.04911092294665,4724
48,1,732,611,124,221,791.6672037914692,735.335355450237,10550
48,2,1108,138,97,167,1148.148806412267,215.98100714410177,5739
49,1,719,612,138,228,788.5358838313321,738.2546774643954,10743
49,2,1090,147,112,155,1144.1146570159565,216.148708669189,6079
50,1,708,612,148,235,784.9273095623987,742.6957050243112,12340
50,2,1098,150,101,153,1142.7230192370394,217.5733615911314,6134
51,1,696,626,162,229,783.1602692108572,746.7662155166038,13521
51,2,1095,156,87,149,1139.348946925021,220.94507160909856,5935
52,1,694,628,164,230,782.239437656411,748.2979537759459,13586
52,2,1093,157,87,148,1136.9547826086957,221.40852173913044,5750
53,1,689,630,169,227,779.9411466994433,748.4990962330995,13831
53,2,1092,170,84,135,1133.078480524489,218.97956035480138,5186
54,1,685,631,173,226,777.0357295373666,747.6246263345196,14050
54,2,1091,171,82,132,1130.2686262502552,218.79465196978975,4899
55,1,683,632,175,225,772.5213675213676,745.6097088675214,14976
55,2,1089,172,83,131,1127.7256743256744,220.49150849150848,5005
56,1,686,633,172,225,767.2634557566469,741.10416789483,16963
56,2,1087,172,83,131,1123.8384586180714,220.3902809415338,5268
57,1,687,635,171,228,759.39840862423,740.2182238193019,19480
57,2,1073,173,91,132,1118.984083424808,223.46139773143065,5466
58,1,674,637,185,235,751.2058603257817,741.7741059726643,21364
58,2,1061,175,100,128,1116.8284678150499,228.48268359020852,5515
59,1,660,638,198,234,744.4808480313558,743.3896312132549,22452
59,2,1064,176,93,129,1114.9579083997776,232.02911181160763,5393
60,1,645,640,215,233,738.2507226662133,745.3473048801225,23524
60,2,1065,178,91,124,1109.2798507462687,233.12402274342574,5628
61,1,632,643,227,231,731.1431122448979,747.0705782312925,23520
61,2,1068,178,85,124,1106.2953459564678,234.27906565209696,5651
62,1,619,646,238,228,721.1963623521102,746.6913296839131,22652
62,2,1057,179,95,123,1103.6086084260442,233.72277950027356,5483
63,1,606,651,197,223,701.4673731176798,742.933782893069,19723
63,2,1042,181,108,121,1100.0778628738146,234.1750547045952,5484
64,1,590,651,204,222,679.9749020034843,747.2820666376307,18368
64,2,1034,181,111,121,1095.2479293208173,235.41965764770845,5433
65,1,692,752,8,10,695.734375,756.484375,64
65,2,1031,182,108,120,1091.2211720226844,235.4937618147448,5290
66,1,676,756,6,6,678.4285714285714,758.5714285714286,35
